#x-xd
35	0.00343557	0	35	-0.00835355	0	35	0.00835355	0	35	0.00343557	0	35	-0.00343557	0	35	0.00835355	0	35	-0.00835355	0	35	-0.00343557	0	
36	0.0030757	0	36	-0.00751608	0	36	0.00751608	0	36	0.0030757	0	36	-0.0030757	0	36	0.00751608	0	36	-0.00751608	0	36	-0.0030757	0	
37	0.00275495	0	37	-0.0067627	0	37	0.0067627	0	37	0.00275495	0	37	-0.00275495	0	37	0.0067627	0	37	-0.0067627	0	37	-0.00275495	0	
38	0.0024688	0	38	-0.00608496	0	38	0.00608496	0	38	0.0024688	0	38	-0.0024688	0	38	0.00608496	0	38	-0.00608496	0	38	-0.0024688	0	
39	0.00221331	0	39	-0.00547524	0	39	0.00547524	0	39	0.00221331	0	39	-0.00221331	0	39	0.00547524	0	39	-0.00547524	0	39	-0.00221331	0	
40	0.00198503	0	40	-0.00492671	0	40	0.00492671	0	40	0.00198503	0	40	-0.00198503	0	40	0.00492671	0	40	-0.00492671	0	40	-0.00198503	0	
41	0.0017809	0	41	-0.00443321	0	41	0.00443321	0	41	0.0017809	0	41	-0.0017809	0	41	0.00443321	0	41	-0.00443321	0	41	-0.0017809	0	
42	0.00159826	0	42	-0.00398921	0	42	0.00398921	0	42	0.00159826	0	42	-0.00159826	0	42	0.00398921	0	42	-0.00398921	0	42	-0.00159826	0	
43	0.00143476	0	43	-0.00358972	0	43	0.00358972	0	43	0.00143476	0	43	-0.00143476	0	43	0.00358972	0	43	-0.00358972	0	43	-0.00143476	0	
44	0.00128831	0	44	-0.00323029	0	44	0.00323029	0	44	0.00128831	0	44	-0.00128831	0	44	0.00323029	0	44	-0.00323029	0	44	-0.00128831	0	
45	0.00115707	0	45	-0.00290689	0	45	0.00290689	0	45	0.00115707	0	45	-0.00115707	0	45	0.00290689	0	45	-0.00290689	0	45	-0.00115707	0	
46	0.00103942	0	46	-0.00261589	0	46	0.00261589	0	46	0.00103942	0	46	-0.00103942	0	46	0.00261589	0	46	-0.00261589	0	46	-0.00103942	0	
47	0.000933898	0	47	-0.00235405	0	47	0.00235405	0	47	0.000933898	0	47	-0.000933898	0	47	0.00235405	0	47	-0.00235405	0	47	-0.000933898	0	
48	0.000839233	0	48	-0.00211844	0	48	0.00211844	0	48	0.000839233	0	48	-0.000839233	0	48	0.00211844	0	48	-0.00211844	0	48	-0.000839233	0	
49	0.000754278	0	49	-0.00190643	0	49	0.00190643	0	49	0.000754278	0	49	-0.000754278	0	49	0.00190643	0	49	-0.00190643	0	49	-0.000754278	0	
50	0.000678015	0	50	-0.00171565	0	50	0.00171565	0	50	0.000678015	0	50	-0.000678015	0	50	0.00171565	0	50	-0.00171565	0	50	-0.000678015	0	
51	0.000609537	0	51	-0.00154397	0	51	0.00154397	0	51	0.000609537	0	51	-0.000609537	0	51	0.00154397	0	51	-0.00154397	0	51	-0.000609537	0	
52	0.000548036	0	52	-0.00138948	0	52	0.00138948	0	52	0.000548036	0	52	-0.000548036	0	52	0.00138948	0	52	-0.00138948	0	52	-0.000548036	0	
53	0.00049279	0	53	-0.00125046	0	53	0.00125046	0	53	0.00049279	0	53	-0.00049279	0	53	0.00125046	0	53	-0.00125046	0	53	-0.00049279	0	
54	0.000443152	0	54	-0.00112536	0	54	0.00112536	0	54	0.000443152	0	54	-0.000443152	0	54	0.00112536	0	54	-0.00112536	0	54	-0.000443152	0	
55	0.000398546	0	55	-0.00101277	0	55	0.00101277	0	55	0.000398546	0	55	-0.000398546	0	55	0.00101277	0	55	-0.00101277	0	55	-0.000398546	0	
56	0.000358457	0	56	-0.000911455	0	56	0.000911455	0	56	0.000358457	0	56	-0.000358457	0	56	0.000911455	0	56	-0.000911455	0	56	-0.000358457	0	
57	0.00032242	0	57	-0.000820278	0	57	0.000820278	0	57	0.00032242	0	57	-0.00032242	0	57	0.000820278	0	57	-0.000820278	0	57	-0.00032242	0	
58	0.000290024	0	58	-0.000738224	0	58	0.000738224	0	58	0.000290024	0	58	-0.000290024	0	58	0.000738224	0	58	-0.000738224	0	58	-0.000290024	0	
59	0.000260897	0	59	-0.00066438	0	59	0.00066438	0	59	0.000260897	0	59	-0.000260897	0	59	0.00066438	0	59	-0.00066438	0	59	-0.000260897	0	
60	0.000234706	0	60	-0.000597925	0	60	0.000597925	0	60	0.000234706	0	60	-0.000234706	0	60	0.000597925	0	60	-0.000597925	0	60	-0.000234706	0	
61	0.000211154	0	61	-0.000538119	0	61	0.000538119	0	61	0.000211154	0	61	-0.000211154	0	61	0.000538119	0	61	-0.000538119	0	61	-0.000211154	0	
62	0.000189972	0	62	-0.000484295	0	62	0.000484295	0	62	0.000189972	0	62	-0.000189972	0	62	0.000484295	0	62	-0.000484295	0	62	-0.000189972	0	
63	0.000170921	0	63	-0.000435857	0	63	0.000435857	0	63	0.000170921	0	63	-0.000170921	0	63	0.000435857	0	63	-0.000435857	0	63	-0.000170921	0	
64	0.000153786	0	64	-0.000392264	0	64	0.000392264	0	64	0.000153786	0	64	-0.000153786	0	64	0.000392264	0	64	-0.000392264	0	64	-0.000153786	0	
65	0.000138372	0	65	-0.000353031	0	65	0.000353031	0	65	0.000138372	0	65	-0.000138372	0	65	0.000353031	0	65	-0.000353031	0	65	-0.000138372	0	
66	0.000124506	0	66	-0.000317723	0	66	0.000317723	0	66	0.000124506	0	66	-0.000124506	0	66	0.000317723	0	66	-0.000317723	0	66	-0.000124506	0	
67	0.000112032	0	67	-0.000285947	0	67	0.000285947	0	67	0.000112032	0	67	-0.000112032	0	67	0.000285947	0	67	-0.000285947	0	67	-0.000112032	0	
